#x y exx eyy exy
0.000000e+00 6.300000e+03 5.215674e+00 5.450992e+00 7.894327e+00
0.000000e+00 6.400000e+03 5.212811e+00 5.453856e+00 7.890556e+00
0.000000e+00 6.500000e+03 5.209858e+00 5.456809e+00 7.886555e+00
0.000000e+00 6.600000e+03 5.206816e+00 5.459851e+00 7.882304e+00
0.000000e+00 6.700000e+03 5.203690e+00 5.462977e+00 7.877779e+00
0.000000e+00 6.800000e+03 5.200485e+00 5.466182e+00 7.872958e+00
0.000000e+00 6.900000e+03 5.197208e+00 5.469458e+00 7.867814e+00
0.000000e+00 7.000000e+03 5.193872e+00 5.472794e+00 7.862316e+00
0.000000e+00 7.100000e+03 5.190494e+00 5.476173e+00 7.856433e+00
0.000000e+00 7.200000e+03 5.187093e+00 5.479573e+00 7.850129e+00
0.000000e+00 7.300000e+03 5.183702e+00 5.482965e+00 7.843365e+00
0.000000e+00 7.400000e+03 5.180357e+00 5.486310e+00 7.836098e+00
0.000000e+00 7.500000e+03 5.177110e+00 5.489557e+00 7.828283e+00
0.000000e+00 7.600000e+03 5.174028e+00 5.492638e+00 7.819871e+00
0.000000e+00 7.700000e+03 5.171199e+00 5.495468e+00 7.810809e+00
0.000000e+00 7.800000e+03 5.168734e+00 5.497933e+00 7.801047e+00
0.000000e+00 7.900000e+03 5.166781e+00 5.499886e+00 7.790532e+00
0.000000e+00 8.000000e+03 5.165528e+00 5.501139e+00 7.779217e+00
0.000000e+00 8.100000e+03 5.165219e+00 5.501447e+00 7.767065e+00
0.000000e+00 8.200000e+03 5.166170e+00 5.500497e+00 7.754057e+00
0.000000e+00 8.300000e+03 5.168782e+00 5.497885e+00 7.740206e+00
0.000000e+00 8.400000e+03 5.173571e+00 5.493095e+00 7.725576e+00
0.000000e+00 8.500000e+03 5.181193e+00 5.485474e+00 7.710309e+00
0.000000e+00 8.600000e+03 5.192469e+00 5.474198e+00 7.694670e+00
0.000000e+00 8.700000e+03 5.208420e+00 5.458247e+00 7.679108e+00
0.000000e+00 8.800000e+03 5.230283e+00 5.436384e+00 7.664338e+00
0.000000e+00 8.900000e+03 5.259506e+00 5.407161e+00 7.651460e+00
0.000000e+00 9.000000e+03 5.297692e+00 5.368975e+00 7.642110e+00
0.000000e+00 9.100000e+03 5.346443e+00 5.320223e+00 7.638631e+00
0.000000e+00 9.200000e+03 5.407040e+00 5.259627e+00 7.644244e+00
0.000000e+00 9.300000e+03 5.479876e+00 5.186791e+00 7.663126e+00
0.000000e+00 9.400000e+03 5.563588e+00 5.103079e+00 7.700243e+00
0.000000e+00 9.500000e+03 5.653949e+00 5.012717e+00 7.760685e+00
0.000000e+00 9.600000e+03 5.742868e+00 4.923799e+00 7.848235e+00
0.000000e+00 9.700000e+03 5.818290e+00 4.848377e+00 7.963111e+00
0.000000e+00 9.800000e+03 5.866096e+00 4.800570e+00 8.099487e+00
0.000000e+00 9.900000e+03 5.874503e+00 4.792164e+00 8.244369e+00
0.000000e+00 1.000000e+04 5.839548e+00 4.827118e+00 8.379661e+00
0.000000e+00 1.010000e+04 5.768197e+00 4.898470e+00 8.487655e+00
0.000000e+00 1.020000e+04 5.676169e+00 4.990498e+00 8.557211e+00
0.000000e+00 1.030000e+04 5.581541e+00 5.085126e+00 8.586762e+00
0.000000e+00 1.040000e+04 5.498420e+00 5.168247e+00 8.582730e+00
0.000000e+00 1.050000e+04 5.434095e+00 5.232572e+00 8.555349e+00
0.000000e+00 1.060000e+04 5.389762e+00 5.276905e+00 8.514769e+00
0.000000e+00 1.070000e+04 5.362880e+00 5.303787e+00 8.468940e+00
0.000000e+00 1.080000e+04 5.349442e+00 5.317224e+00 8.423117e+00
0.000000e+00 1.090000e+04 5.345429e+00 5.321237e+00 8.380273e+00
0.000000e+00 1.100000e+04 5.347487e+00 5.319180e+00 8.341774e+00
0.000000e+00 1.110000e+04 5.353097e+00 5.313570e+00 8.307991e+00
0.000000e+00 1.120000e+04 5.360502e+00 5.306165e+00 8.278751e+00
0.000000e+00 1.130000e+04 5.368549e+00 5.298118e+00 8.253619e+00
0.000000e+00 1.140000e+04 5.376522e+00 5.290145e+00 8.232073e+00
0.000000e+00 1.150000e+04 5.384007e+00 5.282659e+00 8.213591e+00
0.000000e+00 1.160000e+04 5.390793e+00 5.275874e+00 8.197697e+00
0.000000e+00 1.170000e+04 5.396791e+00 5.269876e+00 8.183973e+00
0.000000e+00 1.180000e+04 5.401992e+00 5.264675e+00 8.172064e+00
0.000000e+00 1.190000e+04 5.406431e+00 5.260235e+00 8.161673e+00
0.000000e+00 1.200000e+04 5.410167e+00 5.256500e+00 8.152554e+00
0.000000e+00 1.210000e+04 5.413267e+00 5.253400e+00 8.144504e+00
0.000000e+00 1.220000e+04 5.415803e+00 5.250864e+00 8.137356e+00
0.000000e+00 1.230000e+04 5.417843e+00 5.248824e+00 8.130972e+00
0.000000e+00 1.240000e+04 5.419451e+00 5.247216e+00 8.125239e+00
0.000000e+00 1.250000e+04 5.420684e+00 5.245982e+00 8.120063e+00
0.000000e+00 1.260000e+04 5.421596e+00 5.245071e+00 8.115366e+00
0.000000e+00 1.270000e+04 5.422230e+00 5.244437e+00 8.111084e+00
0.000000e+00 1.280000e+04 5.422628e+00 5.244039e+00 8.107161e+00
0.000000e+00 1.290000e+04 5.422823e+00 5.243843e+00 8.103554e+00
0.000000e+00 1.300000e+04 5.422847e+00 5.243820e+00 8.100223e+00
0.000000e+00 1.310000e+04 5.422725e+00 5.243942e+00 8.097136e+00
0.000000e+00 1.320000e+04 5.422480e+00 5.244187e+00 8.094265e+00
0.000000e+00 1.330000e+04 5.422131e+00 5.244535e+00 8.091587e+00
0.000000e+00 1.340000e+04 5.421695e+00 5.244971e+00 8.089080e+00
0.000000e+00 1.350000e+04 5.421187e+00 5.245480e+00 8.086728e+00
0.000000e+00 1.360000e+04 5.420617e+00 5.246049e+00 8.084515e+00
0.000000e+00 1.370000e+04 5.419998e+00 5.246668e+00 8.082428e+00
0.000000e+00 1.380000e+04 5.419339e+00 5.247328e+00 8.080456e+00
0.000000e+00 1.390000e+04 5.418646e+00 5.248021e+00 8.078587e+00
0.000000e+00 1.400000e+04 5.417927e+00 5.248740e+00 8.076814e+00
0.000000e+00 1.410000e+04 5.417187e+00 5.249479e+00 8.075128e+00
0.000000e+00 1.420000e+04 5.416432e+00 5.250235e+00 8.073522e+00
0.000000e+00 1.430000e+04 5.415665e+00 5.251001e+00 8.071990e+00
0.000000e+00 1.440000e+04 5.414891e+00 5.251776e+00 8.070526e+00
0.000000e+00 1.450000e+04 5.414112e+00 5.252555e+00 8.069126e+00
0.000000e+00 1.460000e+04 5.413331e+00 5.253336e+00 8.067784e+00
0.000000e+00 1.470000e+04 5.412550e+00 5.254117e+00 8.066497e+00
0.000000e+00 1.480000e+04 5.411770e+00 5.254896e+00 8.065261e+00
0.000000e+00 1.490000e+04 5.410995e+00 5.255672e+00 8.064073e+00
0.000000e+00 1.500000e+04 5.410225e+00 5.256442e+00 8.062929e+00
0.000000e+00 1.510000e+04 5.409460e+00 5.257206e+00 8.061827e+00
0.000000e+00 1.520000e+04 5.408703e+00 5.257963e+00 8.060764e+00
0.000000e+00 1.530000e+04 5.407954e+00 5.258713e+00 8.059739e+00
0.000000e+00 1.540000e+04 5.407213e+00 5.259453e+00 8.058748e+00
0.000000e+00 1.550000e+04 5.406482e+00 5.260185e+00 8.057789e+00
0.000000e+00 1.560000e+04 5.405760e+00 5.260907e+00 8.056862e+00
0.000000e+00 1.570000e+04 5.405047e+00 5.261619e+00 8.055965e+00
0.000000e+00 1.580000e+04 5.404345e+00 5.262321e+00 8.055095e+00
0.000000e+00 1.590000e+04 5.403653e+00 5.263013e+00 8.054251e+00
0.000000e+00 1.600000e+04 5.402972e+00 5.263695e+00 8.053433e+00
0.000000e+00 1.610000e+04 5.402301e+00 5.264366e+00 8.052638e+00
0.000000e+00 1.620000e+04 5.401640e+00 5.265026e+00 8.051866e+00
0.000000e+00 1.630000e+04 5.400991e+00 5.265676e+00 8.051116e+00
0.000000e+00 1.640000e+04 5.400351e+00 5.266315e+00 8.050386e+00
